,Player,Team,Position,Salary,Name + ID,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX
0,Derek Carr,LV,QB,5800.0,Derek Carr (15862501),15.917000000000002,20.490000000000002,24.14
1,Jared Goff,LAR,QB,5800.0,Jared Goff (15862502),15.870999999999995,20.155,24.188999999999997
2,Matt Ryan,ATL,QB,5600.0,Matt Ryan (15862506),15.499999999999998,19.153000000000002,24.4
0,Dalvin Cook,MIN,RB,9500.0,Dalvin Cook (15862553),23.075000000000003,27.020000000000007,31.11
1,Austin Ekeler,LAC,RB,7100.0,Austin Ekeler (15862565),13.500000000000002,19.72,27.229999999999997
2,Myles Gaskin,MIA,RB,5900.0,Myles Gaskin (15862587),12.22,16.259999999999998,22.13
3,Devontae Booker,LV,RB,5500.0,Devontae Booker (15862601),7.980000000000002,14.67,21.58
4,David Montgomery,CHI,RB,5500.0,David Montgomery (15862599),9.47,14.190000000000001,18.099999999999998
5,James Robinson,JAC,RB,7300.0,James Robinson (15862561),14.71,18.57,24.229999999999997
6,Alvin Kamara,NO,RB,7000.0,Alvin Kamara (15862567),11.4,17.58,24.599999999999998
9,Derrick Henry,TEN,RB,9200.0,Derrick Henry (15862555),15.8,21.96,25.27
0,Denzel Mims,NYJ,WR,4100.0,Denzel Mims (15862903),8.76,12.45,18.9
1,Brandin Cooks,HOU,WR,5600.0,Brandin Cooks (15862851),13.680000000000001,16.52,24.249999999999996
2,Keke Coutee,HOU,WR,3500.0,Keke Coutee (15862929),6.61,9.770000000000001,12.510000000000002
3,Breshad Perriman,NYJ,WR,3900.0,Breshad Perriman (15862905),7.790000000000001,10.86,13.34
4,Anthony Miller,CHI,WR,3100.0,Anthony Miller (15862961),5.950000000000001,8.49,11.18
5,Cooper Kupp,LAR,WR,6100.0,Cooper Kupp (15862841),14.13,16.57,21.75
6,Tyler Boyd,CIN,WR,4700.0,Tyler Boyd (15862875),10.49,12.71,15.17
7,Darnell Mooney,CHI,WR,3400.0,Darnell Mooney (15862939),6.6,9.06,12.510000000000002
8,Robert Woods,LAR,WR,5900.0,Robert Woods (15862845),13.270000000000001,15.68,22.599999999999998
9,Davante Adams,GB,WR,9000.0,Davante Adams (15862805),19.499999999999996,23.724999999999998,28.8
0,Anthony Firkser,TEN,TE,2500.0,Anthony Firkser (15863333),5.59,7.78,9.990000000000002
1,Jordan Akins,HOU,TE,2900.0,Jordan Akins (15863185),5.24,8.07,10.39
2,Darren Waller,LV,TE,6100.0,Darren Waller (15863135),14.370000000000001,16.729999999999997,21.5
3,Robert Tonyan,GB,TE,3700.0,Robert Tonyan (15863157),6.58,9.620000000000001,16.34
4,Hunter Henry,LAC,TE,4800.0,Hunter Henry (15863141),9.860000000000001,12.440000000000001,16.61
0,Seahawks,SEA,DST,3300.0,Seahawks  (15863349),6.585714285714287,8.22857142857143,10.528571428571428
1,Giants,NYG,DST,2200.0,Giants  (15863364),3.8714285714285714,5.214285714285715,6.128571428571428
2,Falcons,ATL,DST,2400.0,Falcons  (15863361),3.4571428571428577,5.571428571428573,8.214285714285714
